DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,170
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,42
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,142
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,4
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,37
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,1
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,90
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,89
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,64
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,58
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,41
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,42
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,336
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,91
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,72
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,48
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,36
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,65
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,79
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,128
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,36
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,100
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,12
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,87
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,235
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,148
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,30
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,49
